algorithm_name,size,solution,generations,time,conflicts
genetic2,10,"[2, 9, 7, 0, 4, 7, 5, 3, 1, 7]",999,13.4421546459198,6
hill_climbing,10,"[6, 3, 1, 7, 5, 8, 2, 0, 3, 9]",450,0.004042148590087891,1
simulated_annealing,10,"[8, 1, 4, 7, 0, 6, 9, 2, 5, 3]",424,0.01987934112548828,0
genetic,10,"[5, 1, 4, 0, 7, 3, 1, 8, 2, 6]",1000,14.144560813903809,3
genetic2,10,"[9, 5, 4, 8, 6, 0, 2, 5, 5, 0]",999,14.91747260093689,7
hill_climbing,10,"[0, 3, 8, 6, 1, 9, 7, 5, 7, 2]",360,0.0034372806549072266,1
simulated_annealing,10,"[5, 7, 2, 4, 8, 8, 0, 9, 6, 1]",1000,0.050126075744628906,1
genetic,10,"[0, 4, 1, 4, 2, 5, 8, 3, 0, 6]",1000,15.246097564697266,4
genetic2,10,"[5, 9, 5, 3, 9, 6, 5, 8, 0, 3]",999,13.739141941070557,8
hill_climbing,10,"[4, 6, 3, 0, 2, 8, 5, 9, 1, 9]",450,0.0040836334228515625,1
simulated_annealing,10,"[4, 7, 3, 6, 9, 2, 0, 5, 8, 1]",824,0.06687641143798828,0
genetic,10,"[5, 1, 8, 5, 0, 2, 7, 0, 9, 3]",1000,14.238698482513428,4
genetic2,10,"[4, 1, 7, 6, 4, 2, 8, 5, 3, 6]",999,13.519413709640503,5
hill_climbing,10,"[7, 5, 1, 9, 1, 8, 6, 3, 2, 0]",360,0.0031745433807373047,3
simulated_annealing,10,"[2, 7, 5, 0, 8, 1, 4, 6, 3, 9]",96,0.00449824333190918,0
genetic,10,"[5, 9, 6, 9, 0, 3, 8, 6, 7, 2]",1000,14.180436849594116,4
genetic2,10,"[1, 2, 6, 3, 7, 4, 8, 7, 5, 6]",999,13.687991857528687,6
hill_climbing,10,"[0, 7, 1, 5, 8, 6, 9, 2, 6, 1]",360,0.003178834915161133,3
simulated_annealing,10,"[3, 7, 2, 8, 5, 9, 0, 6, 4, 1]",254,0.01184844970703125,0
genetic,10,"[5, 9, 0, 4, 1, 8, 2, 7, 3, 3]",1000,14.223420143127441,2
genetic2,10,"[6, 8, 1, 3, 1, 7, 0, 9, 2, 4]",999,13.484877109527588,6
hill_climbing,10,"[3, 9, 4, 2, 0, 5, 1, 8, 0, 7]",450,0.0040323734283447266,2
simulated_annealing,10,"[4, 1, 8, 5, 7, 2, 0, 6, 9, 0]",1000,0.046442270278930664,1
genetic,10,"[5, 7, 0, 7, 3, 6, 8, 2, 4, 0]",1000,14.1797513961792,3
genetic2,10,"[2, 9, 5, 3, 5, 3, 0, 4, 4, 6]",999,13.488802909851074,5
hill_climbing,10,"[0, 9, 5, 2, 4, 7, 3, 8, 6, 2]",540,0.004797697067260742,2
simulated_annealing,10,"[6, 0, 2, 4, 9, 7, 3, 1, 3, 5]",1000,0.04673647880554199,1
genetic,10,"[2, 7, 7, 2, 9, 6, 1, 5, 8, 6]",1000,14.161391496658325,4
genetic2,10,"[7, 0, 0, 1, 4, 5, 0, 3, 5, 6]",999,13.434465885162354,8
hill_climbing,10,"[4, 6, 1, 5, 7, 0, 3, 8, 9, 2]",450,0.004148006439208984,2
simulated_annealing,10,"[9, 5, 1, 4, 0, 3, 8, 7, 2, 6]",1000,0.04683709144592285,1
genetic,10,"[4, 0, 8, 6, 7, 5, 0, 5, 9, 2]",1000,14.212888240814209,5
genetic2,10,"[8, 7, 2, 6, 5, 9, 6, 0, 3, 1]",999,13.675764083862305,4
hill_climbing,10,"[4, 1, 9, 3, 5, 8, 2, 0, 2, 6]",360,0.0031986236572265625,2
simulated_annealing,10,"[6, 8, 1, 5, 9, 0, 4, 7, 4, 2]",1000,0.04658174514770508,1
genetic,10,"[0, 5, 6, 1, 6, 2, 7, 2, 7, 8]",1000,14.208274126052856,5
genetic2,10,"[9, 4, 2, 9, 3, 6, 8, 0, 1, 0]",999,13.632563591003418,7
hill_climbing,10,"[2, 5, 7, 0, 8, 6, 4, 1, 3, 9]",450,0.004045248031616211,2
simulated_annealing,10,"[5, 1, 9, 4, 8, 3, 0, 2, 7, 1]",1000,0.046474456787109375,1
genetic,10,"[7, 1, 4, 5, 8, 0, 4, 6, 9, 0]",1000,14.23094391822815,3
genetic2,10,"[9, 4, 6, 4, 0, 1, 2, 7, 3, 8]",999,13.491193056106567,5
hill_climbing,10,"[6, 1, 5, 7, 9, 3, 8, 4, 2, 0]",540,0.0047795772552490234,1
simulated_annealing,10,"[2, 8, 1, 9, 4, 6, 0, 3, 5, 7]",417,0.019384384155273438,0
genetic,10,"[4, 1, 9, 2, 7, 3, 8, 0, 5, 6]",1000,14.220967054367065,2
genetic2,10,"[2, 4, 7, 2, 8, 5, 3, 3, 9, 8]",999,13.63625979423523,8
hill_climbing,10,"[2, 6, 1, 7, 5, 0, 9, 4, 8, 3]",540,0.004850864410400391,0
simulated_annealing,10,"[6, 3, 7, 4, 8, 0, 9, 6, 2, 5]",1000,0.04652118682861328,1
genetic,10,"[3, 7, 4, 8, 1, 9, 4, 2, 4, 9]",1000,14.248863220214844,4
genetic2,10,"[1, 8, 0, 4, 8, 5, 0, 2, 7, 9]",999,13.604036808013916,5
hill_climbing,10,"[6, 4, 0, 8, 5, 2, 7, 9, 3, 1]",450,0.00401759147644043,2
simulated_annealing,10,"[4, 7, 0, 6, 3, 5, 8, 1, 9, 2]",1000,0.04683995246887207,1
genetic,10,"[0, 5, 0, 1, 7, 2, 8, 4, 9, 3]",1000,14.259377479553223,4
genetic2,10,"[1, 9, 6, 6, 1, 8, 0, 6, 4, 2]",999,13.481985569000244,6
hill_climbing,10,"[5, 9, 1, 1, 4, 7, 3, 0, 9, 2]",360,0.003185272216796875,3
simulated_annealing,10,"[6, 8, 3, 0, 8, 5, 2, 9, 7, 4]",1000,0.046588897705078125,1
genetic,10,"[8, 4, 2, 0, 3, 6, 4, 0, 5, 1]",1000,14.220272779464722,5
genetic2,10,"[4, 2, 7, 4, 1, 1, 8, 6, 6, 0]",999,13.462323665618896,6
hill_climbing,10,"[4, 1, 5, 9, 2, 6, 8, 3, 7, 0]",450,0.004026651382446289,0
simulated_annealing,10,"[3, 5, 7, 9, 4, 0, 8, 0, 2, 6]",1000,0.04639291763305664,1
genetic,10,"[1, 6, 2, 0, 8, 7, 5, 1, 6, 4]",1000,14.259039640426636,3
genetic2,10,"[6, 4, 9, 4, 6, 7, 2, 0, 6, 3]",999,13.504289388656616,7
hill_climbing,10,"[5, 0, 6, 3, 7, 2, 8, 2, 9, 1]",450,0.004048347473144531,1
simulated_annealing,10,"[9, 5, 3, 8, 0, 2, 6, 1, 7, 4]",225,0.010459184646606445,0
genetic,10,"[0, 5, 9, 0, 2, 8, 4, 8, 1, 3]",1000,14.269335269927979,4
genetic2,10,"[2, 4, 1, 6, 4, 3, 6, 2, 5, 8]",999,13.532410144805908,8
hill_climbing,10,"[4, 0, 4, 8, 5, 3, 1, 7, 2, 6]",360,0.003244638442993164,1
simulated_annealing,10,"[6, 1, 5, 7, 9, 4, 2, 8, 0, 3]",1000,0.04645848274230957,1
genetic,10,"[7, 1, 8, 2, 6, 9, 0, 8, 3, 0]",1000,14.239246129989624,3
